HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.202822,-0.061982,10.01974,19.46,101.720001,-7.142339,2.64304,14.121283,0.9478,0.5359,5.3023,2.833,0.8868,0.5737,4.8032,1.9231,0.8815,0.673,5.1481,1.724,0.7427,0.5875,4.2404,2.2318,0.844,0.5901,4.5036,2.0958,0.8474,0.5878,4.7617,1.9712,1,1,2,2,1.974986,1.985955,2.157759,2.1732,4.840256,4.840399,5.32527,5.324818,1.4448,0.650922239,0.709999979
-0.213997,-0.104757,14.757854,52.95,55.92,-8.48812,1.98368,14.121286,0.9098,0.4681,6.3509,4.8644,0.8622,0.4796,4.7388,2.7923,0.9533,0.3577,6.6958,5.4134,0.8523,0.4767,5.8972,4.6069,0.8193,0.4857,4.4792,2.7297,0.7023,0.5779,4.2711,1.7631,1,2,1,2,1.92319,1.989344,2.027656,2.176342,4.842734,5.324724,4.84089,5.325054,1.4448,0.123622842,0.07
-0.22612,-0.102299,18.696841,512.74,59.42,-8.96036,2.08138,14.12128,0.8505,0.5244,5.5121,2.5173,0.8498,0.6237,5.9675,0.9787,0.8065,0.2799,5.1208,4.6185,0.7551,0.6672,5.076,1.7153,0.8096,0.4876,5.0498,3.5687,0.7318,0.6032,4.3791,0.5179,2,1,2,4,1.9422,2.014612,2.183043,2.375745,5.32451,4.840923,5.324966,8.105001,1.4448,0.187850654,0.469999999
-0.20979,-0.093097,5.381446,5.89,116.19,-7.007907,1.92719,14.121276,0.8749,0.6108,5.0072,0.7968,0.8481,0.6642,5.2262,1.459,0.8882,0.6424,5.3285,1.9023,0.764,0.621,4.1922,0.8081,0.7448,0.6578,4.196,0.9045,0.787,0.6992,4.3664,0.877,2,2,3,3,1.983516,1.985569,2.016959,2.026854,5.32404,5.323996,5.745063,5.745033,1.4448,0.173392609,0.200000003
-0.2319,-0.0889,8.610295,28.18,182.930001,-8.068349,2.3035,14.12128,0.7693,0.7143,3.7125,0.4955,0.8705,0.5266,4.4835,2.2157,0.7987,0.6598,3.9262,0.3051,0.6848,0.718,3.4223,0.5959,0.7858,0.5276,4.1242,2.1932,0.7534,0.6648,3.7409,0.5326,1,2,2,4,1.912659,2.054806,2.083791,2.49059,4.841244,5.32476,5.324693,8.104995,1.4448,0.571223378,0.519999981
-0.220911,-0.094455,16.544163,119.08,40.52,-11.771696,2.12161,14.121279,0.9079,0.5293,5.8348,3.8666,0.9498,0.5312,6.4755,4.6344,0.8251,0.6283,5.0297,2.0961,0.7285,0.5342,3.9502,4.1928,0.7522,0.6204,4.3266,1.8125,0.8594,0.5441,5.796,3.6979,2,1,2,4,1.971037,2.005502,2.180313,2.387242,5.32448,4.840851,5.32495,8.105004,1.4448,0.37361598,0.419999987
-0.196664,-0.082653,4.966626,150.68,145.73,-9.893537,1.94778,14.12128,0.9211,0.4374,5.4749,4.3374,0.9291,0.4466,5.8535,4.1378,0.8632,0.2082,3.7931,2.8095,0.6739,0.6816,3.3983,1.8869,0.8465,0.4753,4.9151,4.0341,0.8774,0.4583,5.2175,4.1119,1,1,2,2,1.990122,1.994852,2.1976,2.344007,4.840782,4.840169,5.324862,5.325412,1.406,0.421271741,0.649999976
-0.228907,-0.09225,7.26102,12.75,196.23,-7.981285,2.24153,14.12128,0.8102,0.6826,3.8704,0.9626,0.8451,0.5757,4.2094,1.9595,0.8096,0.7211,3.9348,0.5523,0.7163,0.6875,3.5121,0.9648,0.7585,0.5947,3.7647,1.6134,0.7597,0.732,3.8761,0.812,1,2,2,4,1.905051,2.057412,2.097239,2.484024,4.841126,5.324759,5.324721,8.104993,1.4448,0.589357734,0.389999986
-0.202036,-0.062123,12.467595,13.4,76.449999,-6.94712,2.64024,14.121284,0.9505,0.5286,5.227,2.7909,0.8853,0.6,4.6325,1.7217,0.9122,0.6031,4.9706,1.7023,0.7596,0.5746,4.2739,2.2395,0.8477,0.5823,4.4786,1.9964,0.8113,0.5549,4.3489,1.9525,1,1,1,2,2.000341,2.014923,2.084286,2.172844,4.840411,4.840341,4.84177,5.324877,1.4448,0.62287426,0.779999971
-0.184672,-0.071083,9.194186,330.81,260.929999,-7.329197,2.12432,14.121284,0.9684,0.3328,5.3402,4.4525,0.9668,0.2978,4.8725,3.6339,0.9663,0.3115,4.2206,3.8102,0.9355,0.3348,5.1716,4.4586,0.938,0.3016,4.554,3.5875,0.9314,0.3204,3.8908,3.4173,1,1,1,2,1.967345,2.034729,2.077042,2.102025,4.840517,4.840481,4.841986,5.32539,1.4906,0.42194289,0.579999983
