Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
4.814970493,5.231343269,4.995202541,5.127390862,4.720985889
4.712233067,4.584439754,4.687447071,4.566868305,4.778151035
4.945365429,5.040164948,5.045109749,5.10203886,5.332438469
4.870490551,4.824169159,4.990434647,4.932144165,5.045322895
4.908489227,4.842398167,4.95467186,4.886006355,4.717670441
4.893792152,4.989191055,4.808660507,4.797803402,4.843214035
4.934305191,5.098643303,4.885887623,5.180544853,4.698969841
4.597913742,4.498077393,4.5598526,4.600117683,4.872097015
4.759092808,5.052475452,4.933937073,4.9973979,4.954242706
4.567351341,4.658426762,4.507200718,4.58018589,4.501059055
4.729656219,4.993267536,4.898511887,4.922695637,5
4.780335903,4.74418211,4.755669594,4.841269016,5.375663757
4.799824238,5.057108402,4.954632282,4.796992779,5.184691429
5.053077698,5.373877525,5.366212845,5.254475117,5.231948853
4.843874454,4.708881378,4.768788815,4.772617817,5.071552277
4.893792152,4.876273632,4.795066357,5.0400877,3.698970079
4.799824238,4.984892368,4.978233814,4.934385777,5.113943577
4.908489227,4.900120735,4.911750317,5.036547661,6.257678509
4.75357008,4.77915144,4.798866272,4.772562027,5.016390324
4.89135313,5.132237434,4.970706463,5.036902905,5.195519924
4.780851364,4.872023106,4.779479504,4.91021204,5.155335903
4.914450169,4.853506565,4.817531109,4.870108128,4.920645237
4.9856987,5.205535412,5.093051434,4.925181866,4.745855331
5.099304199,4.764177799,4.855967999,4.965015411,4.264817715
4.843948364,4.727365971,4.852572441,4.899859428,5.054357529
4.867217541,4.827043056,4.955230236,4.857926846,4.797959805
4.875494957,4.828455925,4.967927933,4.963716507,5.40993309
4.90582943,4.788767815,4.627720356,4.845646858,4.795879841
4.994422436,4.97497797,4.965339184,5.011200428,5.54406786
4.980449677,5.113630772,4.954627991,5.027249336,5.151731968
4.933440208,4.912148476,4.839545727,4.916537762,5.013788223
4.853908539,4.51240015,4.7237854,4.818068504,5
4.800306797,4.460980415,4.908080578,5.013746262,4.155335903
4.466112137,4.153269291,4.351641178,4.28381443,4.337242126
5.020225048,5.163471222,5.15093708,5.266947269,5.113943577
4.997253418,5.081812382,5.087846279,5.009186745,4.301030159
4.869375706,5.095434666,4.660725594,4.494763374,5.076388359
4.861588955,4.953251839,4.805995941,4.733675003,5.376750946
4.900311947,5.149496078,4.916574478,5.148522854,4.857332706
4.766078472,4.643829346,4.880905151,4.921877384,5.053078651
5.198118687,5.125108242,4.949807167,5.223190308,4.84010601
4.649390697,4.940215111,4.831808567,4.796089649,5.051152706
4.806875229,4.750139236,4.866604805,4.84732008,4.885599136
4.893499851,5.036336422,4.972844124,4.866641521,5.107210159
4.91385746,5.145495415,5.027750015,4.834441185,4.58982563
4.831753731,4.876228809,4.647996426,4.830668449,5.257678509
4.892742634,5.035383224,4.983512878,4.899103165,5.264817715
4.755017757,4.627128601,4.738289833,4.744275093,4.45593214
5.012574673,4.982388496,4.871113777,4.891808033,3.045322895
4.449283123,4.035741806,4.362979889,4.385798454,4.44715786
4.994768143,5.183590889,5.082681656,5.088941097,5.049218178
4.843847275,5.023221493,5.036158562,5.079193115,4.7727561
4.840620518,4.963327885,4.905444622,5.02823925,4.975176334
4.672941685,4.569284439,4.620947838,4.884556293,4.851937294
4.757431984,4.635854244,4.692615032,4.52959013,4.803705215
4.543643951,4.46994257,4.613941669,4.59568119,4.987219334
4.94075489,4.89259243,4.805289268,4.841639042,4.690369606
4.760966778,4.637602806,4.799837112,4.882193089,4.887295723
4.941249847,5.250216961,5.00265789,4.903891087,5.041892052
4.746319771,4.670426846,4.715406418,4.817730427,5.057991982
5.091391563,5.421042919,5.086236477,5.297315121,5.265032291
4.881371975,5.104255199,4.979073524,4.801122189,4.869231701
4.958057404,5.262540817,4.834422112,4.952985764,5.46073103
4.997407436,5.194939613,5.088266373,5.090462685,5.301030159
4.814539433,4.720557213,4.888950825,4.665552139,5.365488052
4.913021564,4.907633305,4.928445339,5.056841373,4.901458263
5.051980019,5.255378246,5.2248559,5.25168705,5.462398052
5.065813541,4.999327183,5.191784859,5.218058109,5.244414806
