Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
4.82E+00,4.91E+00,4.92E+00,4.89E+00,4.956534306
4.76E+00,4.75E+00,4.78E+00,4.68E+00,4.745966567
4.89E+00,4.97E+00,4.95E+00,4.96E+00,5.012837225
4.80E+00,4.70E+00,4.67E+00,4.65E+00,4.589949601
4.75E+00,4.75E+00,4.73E+00,4.69E+00,4.848189117
4.82E+00,4.89E+00,4.93E+00,4.89E+00,5.056904851
4.81E+00,4.88E+00,4.87E+00,4.85E+00,4.891537458
5.01E+00,5.13E+00,5.07E+00,5.06E+00,5.243038049
4.93E+00,4.94E+00,5.00E+00,4.90E+00,5.041892161
4.79E+00,4.87E+00,4.81E+00,4.80E+00,4.749736316
4.93E+00,5.16E+00,5.07E+00,5.04E+00,5.16185082
4.96E+00,5.04E+00,5.11E+00,5.06E+00,5.195899652
4.49E+00,4.42E+00,4.39E+00,4.39E+00,4.447158031
4.73E+00,4.90E+00,4.91E+00,4.88E+00,4.954242509
4.77E+00,4.87E+00,4.95E+00,4.86E+00,5
4.86E+00,4.90E+00,4.85E+00,4.88E+00,4.851258349
4.73E+00,4.82E+00,4.85E+00,4.81E+00,4.861697302
4.92E+00,4.91E+00,4.93E+00,4.88E+00,4.860338007
4.81E+00,4.73E+00,4.68E+00,4.67E+00,4.710963119
