HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,ML_pred,lambda
-0.221571248,-0.10597697,9.869795403,95.8099999,244.9099992,-7.090000002,14.12128052,0.8404,0.5184,4.222200002,2.152500001,0.8251,0.5524,3.918700003,1.874000003,0.9581,0.2594,4.5215,3.369700001,0.7804,0.5257,3.955300002,2.134200001,0.7629,0.7394,3.821200002,0.720500001,0.7883,0.4584,3.8029,2.440600002,1,1.999999999,3,1.999999999,1.973967832,2.027089786,2.065739577,2.088702947,4.841094672,5.324659641,5.745185324,5.324764002,665.5645499,1.4448,567.6439209,595
-0.218916355,-0.087913412,1.00148624,42.02999967,6.619999485,-12.8,14.12128605,0.9085,0.6261,5.4315,0.634400001,0.8353,0.6099,5.006300001,1.842899998,0.9104,0.651,5.603299998,1.308299999,0.7112,0.6369,3.848799998,0.557400002,0.7286,0.6965,4.289199998,0.484999999,0.8147,0.5991,4.6055,2.165800001,1,1.999999999,1,1,1.902584558,2.033105998,2.089688972,2.095116703,4.84429149,5.324570371,4.840896814,4.840905804,578.7766347,1.4448,528.1327515,611
-0.215401154,-0.08685111,10.61522747,14.74000027,179.1499995,-7.740000002,14.12127961,0.8398,0.6504,4.083600001,1.610200001,0.859,0.5844,4.277700002,2.0048,0.8095,0.2703,3.406299999,2.053700002,0.7651,0.6541,3.750500002,1.601099998,0.7631,0.5896,3.835699999,1.866700003,0.735,0.7427,3.719199998,1.034400002,1,1.999999999,2,4,1.901490205,2.059114858,2.101314351,2.482193385,4.841071135,5.324749344,5.324714623,8.104991531,582.7149816,1.4448,543.3181763,547
-0.196006667,-0.07220679,5.293163852,144.0299998,197.6899996,-9.24,14.12128027,0.9009,0.4837,5.096399999,3.707999999,0.9759,0.3492,5.503099997,4.046400002,0.9195,0.4122,5.564499998,4.127599997,0.7195,0.6457,3.576800001,1.584099997,0.7903,0.5859,4.416599998,2.5203,0.8551,0.4265,4.775899999,3.144199998,1,1,2,1.999999999,1.989342856,1.99406018,2.191350725,2.282200035,4.840787535,4.840166858,5.324836262,5.325307777,575.7720696,1.406,508.8035583,498
-0.235909743,-0.107209133,14.57355427,787.2099999,115.8400002,-8.160000001,14.12128052,0.8439,0.6165,4.710200002,2.114700003,0.83,0.632,4.7936,1.9259,0.8851,0.5492,4.964200003,2.546700001,0.7404,0.6161,4.3143,2.066199999,0.8026,0.6333,4.480400002,1.936500002,0.759,0.5668,3.955100002,1.993,2,1,2,4,1.92278678,2.018271042,2.189813234,2.364201768,5.324629886,4.840941588,5.325019958,8.104999568,595.4324572,1.4448,563.0614014,568
-0.200249962,-0.099958568,14.46500692,40.82000038,260.5800007,-6.580000001,14.12128619,0.9616,0.3622,5.4593,4.170300001,0.9495,0.4971,5.743800001,4.003100002,0.9578,0.3688,4.793900001,3.369200002,0.9321,0.3687,5.209900002,4.126899998,0.8316,0.4937,4.871100003,3.850900001,0.9014,0.4474,4.9766,3.721000002,1,1,2,1.999999999,1.944039351,2.015360514,2.087415148,2.134912879,4.840618522,4.840879418,5.324480264,5.325057785,694.2772521,1.4448,611.0724487,660
-0.230466699,-0.091656486,12.76140201,24.19999998,201.4399998,-7.679999998,14.12128548,0.828,0.639,4.047299998,1.162799998,0.8633,0.5788,4.380699998,2.224099999,0.846,0.5857,3.543699998,1.525499998,0.7241,0.6368,3.635400002,1.172700001,0.7627,0.5845,3.894400001,1.820400001,0.7878,0.6005,3.855799999,1.314700003,1,1,2,1.999999999,1.992983191,2.028991375,2.06924624,2.098054813,4.841034879,4.840945222,5.324850772,5.324804805,528.6268489,1.4448,520.0023804,492
-0.198932893,-0.058624686,16.8143351,17.68999998,722.4099996,-7.299999998,14.12127918,0.8071,0.551,4.303700001,1.578299997,0.8756,0.5575,4.431699999,1.594800002,0.8549,0.6157,5.154699998,1.222200002,0.7394,0.5579,3.876999999,1.5176,0.7694,0.5902,3.579799998,1.397399997,0.6979,0.6181,4.1831,1.129499998,1,1,3,3.000000001,1.967806139,1.967806139,2.125531698,2.125531698,4.841194345,4.841194741,5.74486805,5.744868082,501.3605469,1.412,464.8020935,460
-0.245879355,-0.103680361,26.25980101,66.93000038,111.1500004,-8.599999999,14.12127578,0.8506,0.5898,4.6216,1.267999998,0.9181,0.572,5.106800001,1.666300001,0.9218,0.4496,5.315699999,2.2778,0.6913,0.5803,3.494600001,1.170399997,0.7645,0.5607,4.075699998,1.026400002,0.6151,0.6118,3.207600001,2.362100001,2,1.999999999,2,1.999999999,1.998330053,2.023137662,2.032018209,2.054733316,5.325046051,5.324900677,5.324588294,5.324473395,527.3297135,1.4448,500.9473572,452
-0.205199212,-0.054960206,4.216015802,453.3100004,610.61,-5.969999998,14.12128099,0.9189,0.3547,4.4526,3.725300002,0.9029,0.2603,3.073799998,2.349099998,0.7497,0.5111,4.034199998,1.764899999,0.5708,0.4591,2.7275,2.9386,0.86,0.3999,4.2333,3.271899997,0.6846,0.5137,3.550899998,2.704199998,1,1,3,3.000000001,1.978185279,2.008435461,2.078629597,2.120275925,4.84169706,4.84083968,5.745286509,5.745387619,486.9103575,1.4906,464.5881958,454
-0.237748752,-0.089882084,7.348534323,31.31999973,196.9400004,-7.750000002,14.12127974,0.7701,0.7101,3.722,0.613400001,0.8635,0.5694,4.441299997,0.633400002,0.8106,0.6122,3.975700001,0.65,0.6787,0.7078,3.3818,0.673100002,0.7678,0.6303,3.9824,0.947400002,0.7074,0.6562,3.489299998,1.439400002,1,1.999999999,2,4,1.917031559,2.047077185,2.087689872,2.48516921,4.841192607,5.324766583,5.324689495,8.104997306,509.8118217,1.4448,479.4189148,470
-0.203245363,-0.062108655,10.22473424,24.19999998,93.66999991,-7.12,14.1212816,0.9236,0.6015,5.545499999,2.0819,0.9292,0.4999,5.899500001,3.238899998,0.859,0.6217,5.193200001,1.9929,0.7401,0.6091,4.383099999,1.973700003,0.7538,0.6052,4.378100002,1.264699997,0.792,0.5971,4.788600001,2.1492,1,1,2,1.999999999,1.977539886,1.994009278,2.161619994,2.250840954,4.840205786,4.840581934,5.324805147,5.32481956,471.7052911,1.4448,443.7538452,460
-0.195449327,-0.093787686,12.50926668,1.109999709,250.7399995,-6.700000001,14.12127529,0.9274,0.4029,5.258999999,3.134599997,0.9539,0.4041,5.643099999,3.168600003,0.8871,0.5716,5.078100001,2.258699999,0.897,0.4034,5.044099999,3.1259,0.9067,0.4112,5.244800001,3.129700003,0.7178,0.6195,3.946099998,1.841000002,2,1.999999999,3,3.000000001,1.998694824,1.998694824,2.004482227,2.004482227,5.324440029,5.324440029,5.745023006,5.745022973,687.7006942,1.4969,610.0164185,610
-0.202036235,-0.062122862,12.46759484,13.40000035,76.45000022,-6.950000002,14.12128376,0.9505,0.5286,5.226999999,2.790900001,0.8853,0.6,4.632500002,1.721700002,0.9122,0.6031,4.9706,1.702299999,0.7596,0.5746,4.2739,2.239500002,0.8477,0.5823,4.478599998,1.996400001,0.8113,0.5549,4.3489,1.952500002,1,1,1,1.999999999,2.000340971,2.014922579,2.084286209,2.172843759,4.840411385,4.840340879,4.8417696,5.32487682,469.6542745,1.4448,453.1565552,452
-0.213426164,-0.098999306,6.402840754,0.030032864,1.989999623,-6.680000002,14.12127602,0.887,0.5674,4.846299998,0.964499998,0.862,0.6589,5.093900001,0.585400001,0.869,0.6367,4.898100002,1.589900001,0.7906,0.5759,4.192799998,1.000600001,0.7217,0.6538,3.803599998,0.9549,0.7718,0.7368,4.248300002,0.5567,2,1.999999999,3,3.000000001,1.984744064,1.984744064,2.008828763,2.008828763,5.324079456,5.32407965,5.745103737,5.745102458,650.9801443,1.5011,624.0645142,628
-0.201541569,-0.061472749,11.1719099,35.13000023,132.6399998,-8.089999998,14.12128204,0.9353,0.5527,5.3049,2.826199998,0.866,0.5812,4.823099998,1.731199997,0.8752,0.6485,5.196599999,2.015899998,0.7473,0.5809,4.276899999,2.461,0.8033,0.5941,4.280399999,1.999300002,0.856,0.6033,4.887799999,2.075299999,1,1,2,1.999999999,1.981367457,1.987861665,2.16958844,2.177326112,4.840178116,4.840423635,5.324722707,5.325308117,477.6413753,1.4448,449.9661255,444
-0.202821551,-0.061981552,10.01973999,19.4600003,101.7200009,-7.139999999,14.12128254,0.9478,0.5359,5.302299998,2.832999997,0.8868,0.5737,4.803199999,1.923100001,0.8815,0.673,5.148100001,1.723999999,0.7427,0.5875,4.240400002,2.2318,0.844,0.5901,4.503600003,2.095800002,0.8474,0.5878,4.761699999,1.9712,1,1,2,1.999999999,1.974985823,1.985954682,2.157759486,2.173199715,4.840255747,4.840398668,5.325270009,5.324818441,469.156729,1.4448,447.5227661,454
-0.217362528,-0.100769018,15.79257419,107.1500001,271.6800004,-7.799999999,14.12128057,0.855,0.5162,5.354800002,3.942100001,0.8522,0.6532,5.152499999,2.432899998,0.873,0.555,5.443000001,2.804200001,0.7831,0.5359,4.819700001,3.7305,0.7998,0.6442,4.792999999,2.5774,0.7536,0.5694,4.200199999,2.733300001,2,1,2,4,1.95735587,1.977963346,2.163012945,2.401751652,5.32454446,4.840939691,5.325041329,8.105007276,609.600221,1.4448,587.1793213,588
-0.206335032,-0.093927345,7.549073746,25.28000026,112.4700008,-7.480000002,14.12127552,0.8799,0.5999,5.024700003,1.1691,0.8711,0.627,5.312699997,1.756099999,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.201499999,1.186400003,0.7549,0.6269,4.204800001,1.213499999,0.764,0.739,4.286100001,0.593699999,2,1.999999999,3,3.000000001,1.976211021,1.987684834,2.026845332,2.034475854,5.324042373,5.324036964,5.744381884,5.744742124,676.626906,1.4448,605.7548828,642
-0.214832467,-0.079338609,7.641470357,243.4799999,101.7899993,-8.530000002,14.12128002,0.7659,0.659,3.851799999,0.526600003,0.8451,0.5808,4.340299997,2.3227,0.7022,0.5968,3.2589,1.049200003,0.6132,0.6603,3.025500002,0.507199999,0.6549,0.605,3.316000002,1.972700002,0.7109,0.6325,3.225700002,1.1113,2,1.999999999,2,1.999999999,1.944343077,1.995296469,2.064362613,2.064787156,5.324261391,5.324199273,5.324483332,5.324464627,612.4575857,1.3441,538.913269,566
-0.207158818,-0.084469589,3.652060855,4.519999706,219.0199996,-6.130000003,14.12127994,0.9353,0.4776,5.356899999,2.831400001,0.8325,0.5802,4.508999998,1.894400003,0.9156,0.4836,6.211299999,4.225,0.8713,0.4829,4.869899999,2.743599997,0.7339,0.56,4.357199999,2.3149,0.7972,0.5574,4.223399998,2.026100003,1,1.999999999,2,3.000000001,1.953099076,2.013799146,2.076444317,2.085209342,4.84079275,5.324460781,5.324553032,5.744878418,532.5088034,1.4448,523.4990845,527
-0.18057512,-0.08170097,7.760668859,124.8300003,449.2999997,-6.940000002,14.12128108,0.9591,0.3267,5.1931,3.963500001,0.9305,0.4079,4.911999998,3.3375,0.9347,0.3285,4.297899998,3.507600001,0.9349,0.3297,5.006699999,3.941900001,0.8712,0.4095,4.674300003,3.326900001,0.8857,0.3267,3.9588,3.172599998,1,1,2,1.999999999,1.970854383,1.992658024,2.167834173,2.170732826,4.840248474,4.840522349,5.325350604,5.325508221,699.6834504,1.4906,490.8129883,449
-0.21456665,-0.102787152,13.70584845,58.17000012,87.05999939,-8.000000002,14.12128627,0.9421,0.4236,5.8962,4.636999997,0.914,0.4999,4.495199999,2.918899997,0.9501,0.379,6.195899998,4.898099999,0.8987,0.4347,5.505699999,4.509399998,0.8461,0.5064,4.231199999,2.872099999,0.6944,0.6234,3.638,1.724600002,1,1.999999999,1,1.999999999,1.917045905,2.002419786,2.028084071,2.166457939,4.842709066,5.324749586,4.840882577,5.325086653,605.5308417,1.4448,580.8014526,582
