Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
23,-0.231285858,-0.104670444,15.7613557,728.78,58.59,0.0002446,2.08069,1357669.526,0.8468,0.5365,4.7066,2.2624,0.8527,0.5936,5.1839,1.3435,0.8006,0.3201,4.2588,3.4362,0.7512,0.606,4.493,1.5846,0.8071,0.5247,4.4725,2.6045,0.7826,0.5673,4.4264,1.8321,2,1,2,4,1.929212015,2.01891877,2.185745639,2.373536812,205.32354,126.58732,205.41418,3310.98435,68997.53291,595.9561492,1.4448,0.06,90476.19048,566,0.6,,"Inorg. Chem. 1999, 38, 4046",,
24,-0.220757237,-0.089461868,15.56262923,114.46,35.73,6.55E-06,2.12731,1357667.749,0.8823,0.6421,5.1643,2.5812,0.9608,0.3998,6.7558,5.7137,0.8042,0.6414,4.7002,1.2527,0.7213,0.6295,3.7959,2.9088,0.7518,0.6063,4.3811,1.883,0.7839,0.571,4.7448,2.3481,2,1,2,4,1.975851462,2.003785667,2.177917583,2.386653096,205.30762,126.57826,205.39589,3310.99678,2496.884895,582.8957698,1.4448,0.2,36363.63636,529,5.5,,"Chem. Eur. J. 2007, 13, 417",,
25,-0.219772754,-0.086890694,16.64718652,93.66,29.91,1.51E-05,2.1457,1357667.5,0.8906,0.5714,5.4787,3.5019,0.9542,0.5297,6.6165,4.9283,0.8174,0.6301,4.8512,1.6495,0.7141,0.56,3.7219,4.1671,0.7451,0.5755,4.6408,2.1416,0.8093,0.5978,4.9456,2.7697,2,1,2,4,1.975276436,2.005131666,2.181084363,2.389060485,205.3,126.57581,205.40104,3310.99469,3706.054778,577.899986,1.4448,0.29,47540.98361,525,6.1,,"Chem. Eur. J. 2007, 13, 417",,
26,-0.220911013,-0.094455305,16.54416348,119.08,40.52,7.72E-06,2.12161,1357667.724,0.9079,0.5293,5.8348,3.8666,0.9498,0.5312,6.4755,4.6344,0.8251,0.6283,5.0297,2.0961,0.7285,0.5342,3.9502,4.1928,0.7522,0.6204,4.3266,1.8125,0.8594,0.5441,5.796,3.6979,2,1,2,4,1.971036529,2.005501683,2.180313051,2.387242133,205.30153,126.57699,205.39799,3310.9965,2957.021172,584.4618002,1.4448,0.42,63636.36364,537,6.6,,"Chem. Eur. J. 2007, 13, 417",,
27,-0.220548134,-0.091186165,17.17957745,111.94,37.18,6.11E-06,2.12342,1357667.484,0.8956,0.584,5.5503,3.2643,0.9574,0.4822,6.64,5.2717,0.8155,0.6435,4.8752,1.4634,0.7238,0.5565,3.8537,3.8992,0.7546,0.6061,4.4347,1.7353,0.8295,0.5713,5.3613,3.0394,2,1,2,4,1.97402153,2.004819443,2.180490541,2.388643967,205.29765,126.57591,205.39824,3310.99736,1698.065213,583.9636059,1.4448,0.68,93150.68493,533,7.3,,"Chem. Eur. J. 2007, 13, 417",,
28,-0.234075962,-0.102499138,17.44339543,284.39,50.99,0.0002265,2.18529,1357667.848,0.8834,0.5531,5.1674,3.2114,0.8728,0.65,4.8465,1.7735,0.8564,0.2308,4.5312,3.5401,0.7163,0.6006,4.007,2.3623,0.8313,0.6053,4.7566,2.3675,0.7786,0.6111,4.3475,1.8548,2,1,2,4,1.96844812,2.008023406,2.185807631,2.38090844,205.30097,126.59091,205.40503,3310.99461,52551.4609,567.4304097,1.4448,0.78,102631.5789,530,7.6,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
29,-0.23489738,-0.104166226,20.31924521,261.57,53.48,0.0002249,2.18833,1357667.729,0.8852,0.5443,5.2715,3.4168,0.8672,0.6635,4.8102,1.6304,0.8919,0.5717,5.295,2.236,0.7182,0.6038,4.0385,2.3346,0.8294,0.6018,4.8102,2.4609,0.7747,0.6226,4.2918,1.5285,2,1,2,4,1.967807409,2.004895259,2.178445547,2.379865122,205.29907,126.57901,205.40102,3311.00374,51803.95994,566.6421426,1.4448,0.65,73033.70787,529,8.9,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
30,-0.237901694,-0.104586692,19.95495592,296.01,33.92,0.0001264,2.19814,1357666.962,0.8854,0.5499,5.2312,3.146,0.8645,0.6553,4.8288,1.7275,0.8915,0.6118,5.3146,1.9821,0.7113,0.6124,3.9537,2.1703,0.822,0.6085,4.7407,2.2495,0.7806,0.6145,4.3929,1.7488,2,1,2,4,1.966891456,2.022372122,2.16889488,2.3797565,205.30375,126.55026,205.39352,3311.00951,35728.12266,564.1132958,1.4448,0.14,70000,528,2,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
31,-0.240136234,-0.104252441,19.46192418,277.9,24.86,0.0001099,2.19685,1357668.026,0.8611,0.6297,4.9682,1.955,0.8643,0.5947,4.7946,2.1695,0.8473,0.2307,4.4564,3.2014,0.7092,0.7096,3.9276,1.4107,0.8034,0.5178,4.5625,2.6453,0.7753,0.6626,4.2251,1.071,2,1,2,4,1.967579986,2.004433835,2.185423986,2.378519287,205.30201,126.60167,205.4003,3311.00204,33317.87518,564.4445456,1.4448,0.63,70786.51685,534,8.9,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
32,-0.242572891,-0.107231117,21.69633129,253.12,10.61,0.0001779,2.20752,1357668.305,0.8337,0.6147,4.976,0.55,0.8445,0.6762,5.2071,0.7383,0.8013,0.2674,4.5286,2.5587,0.7076,0.7031,3.9277,1.8439,0.7355,0.5569,4.3157,0.3577,0.7676,0.6246,4.4893,0.8107,2,1,2,4,1.967148698,1.998984242,2.182436712,2.37796825,205.30127,126.61512,205.39575,3311.00474,49033.05921,561.7163151,1.4448,0.79,117910.4478,530,6.7,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
