HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,refractive index,Exp. Kr
-0.210534594,-0.089402428,5.15274368,1.709948017,1.451479405,-3.415103656,2.13239,6.132794139,0.9706,0.4206,6.4475,5.108,0.9359,0.5736,6.0233,3.4933,0.9101,0.4754,5.6169,3.8636,0.744,0.544,3.9392,3.8546,0.8617,0.524,5.2746,2.8671,0.7451,0.5634,4.3841,2.4638,1,2,2,3,1.91838187,2.013822981,2.084522247,2.138929639,2.102492808,2.312322436,2.31249568,2.494896756,4.901502744,1.4448,4.465382851
-0.192785228,-0.057872679,1.69769302,2.104145551,2.027431158,-3.602059991,2.30144,6.132795291,0.8226,0.6125,4.0038,0.993,0.8944,0.5668,4.3664,1.2063,0.7947,0.3078,3.4461,1.1591,0.7482,0.6122,3.6256,0.9519,0.74,0.5971,3.4498,0.6077,0.7184,0.6851,3.6948,0.6588,1,1,2,2,1.95376278,1.978912328,2.108718094,2.139895558,2.102334383,2.102311427,2.312662851,2.312658983,5.024274318,1.406,5.463040044
-0.213154782,-0.092210442,1.44820173,1.351022853,1.743744879,-3.998266287,1.8309,6.132796485,0.8229,0.6565,4.4213,0.577,0.93,0.4522,5.9491,4.3119,0.8864,0.6476,5.0996,2.4682,0.6905,0.65,3.6647,0.6389,0.7656,0.6493,4.3532,1.777,0.8643,0.4763,5.3135,3.8407,1,2,1,1,1.906992659,2.030271903,2.060660331,2.086256696,2.103836651,2.312414947,2.102557493,2.102373634,4.418704783,1.4448,4.216316261
-0.208644559,-0.098210174,15.18480681,1.029383778,0.828659897,-3.646853454,2.07626,6.132796541,0.918,0.4354,6.7111,5.1958,0.8877,0.2271,5.4182,4.2394,0.9571,0.3402,6.3903,4.5945,0.854,0.4451,6.133,4.8481,0.7853,0.5101,4.623,2.6359,0.8676,0.4161,5.5423,3.729,1,2,1,2,1.924149163,1.991097436,2.02636892,2.178057391,2.10315751,2.312486396,2.102370341,2.312614775,4.902463886,1.4448,4.88729572
-0.197023222,-0.099775718,10.61775875,1.075911761,2.32594646,-3.176982477,1.97777,6.132793765,0.9864,0.1081,6.3981,5.2031,0.9975,0.0745,6.899,5.662,0.8135,0.696,4.3239,0.4343,0.9823,0.1111,6.3617,5.1758,0.9857,0.0978,6.7852,5.4683,0.728,0.6921,3.7726,0.2886,1,2,2,3,1.921406256,2.050060975,2.058883435,2.234397682,2.102506665,2.31247931,2.312468228,2.49488746,5.33348138,1.4448,4.065501549
-0.245879355,-0.103680361,26.25980102,1.825620825,2.045909467,-3.736600669,2.35147,6.13279215,0.8506,0.5898,4.6216,1.268,0.9181,0.572,5.1068,1.6663,0.9218,0.4496,5.3157,2.2778,0.6913,0.5803,3.4946,1.1704,0.7645,0.5607,4.0757,1.0264,0.6151,0.6118,3.2076,2.3621,2,2,2,2,1.998330053,2.023137662,2.032018209,2.054733316,2.312638116,2.312574981,2.312439314,2.312389415,4.740749819,1.4448,4.717670503
-0.218264696,-0.072015822,14.71033163,1.686725621,2.241347217,-3.552686891,2.36141,6.132793325,0.7642,0.7608,3.5859,0.9849,0.8205,0.6262,3.9364,0.7243,0.7994,0.2586,3.3472,2.3534,0.6867,0.7647,3.3282,0.978,0.7716,0.6543,3.8149,1.9774,0.7168,0.6252,3.5875,1.6208,1,2,2,4,1.944000257,2.034958722,2.068901641,2.493009827,2.102464922,2.312471887,2.312426306,3.519950921,4.895240347,1.4448,4.706717782
-0.201427195,-0.099564414,14.04235397,0.95230801,2.550973965,-3.337998121,1.76897,6.132791877,0.9222,0.4293,5.1123,3.1303,0.9454,0.4202,5.4723,3.221,0.7692,0.3207,3.7621,2.7657,0.8854,0.4327,4.8692,3.1007,0.8911,0.427,5.0396,3.1742,0.6938,0.5839,3.751,1.9593,2,2,3,3,1.995022306,1.995992485,2.008949477,2.009533279,2.312386813,2.312375622,2.495047126,2.495041778,4.967080647,1.4969,5.134698574
-0.206302415,-0.07969944,9.25411474,2.167937313,3.302806963,-4.43,1.83581,6.132793825,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,2.101978418,2.102024295,2.312658539,2.102206413,3.810073537,1.4448,5.076388346
-0.208591231,-0.060984669,5.48075003,2.029870564,2.387710089,-4.28,2.46955,6.132794595,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971335842,1.973867523,2.102321098,2.145605975,2.102598576,2.102368522,2.495157796,2.495152352,4.324838969,1.4906,4.592514673
